70
1 	 42
1 	 65
2 	 62 51
1 	 62
2 	 38 17
1 	 26
1 	 11
4 	 36 14 22 62
2 	 49 63
1 	 66
2 	 41 44
2 	 33 6
2 	 36 54
1 	 35
5 	 7 65 18 47 60
1 	 49
1 	 50
1 	 4
2 	 14 61
2 	 48 52
1 	 21
4 	 62 20 28 31
2 	 7 27
2 	 53 26
1 	 34
5 	 36 66 57 67 39
2 	 23 5
2 	 22 30
2 	 21 50
2 	 66 45
1 	 27
1 	 21
1 	 60
4 	 36 38 11 42
2 	 53 24
2 	 66 13
5 	 53 25 33 7 12
1 	 69
4 	 33 48 49 4
1 	 25
1 	 47
2 	 66 10
2 	 33 0
1 	 66
1 	 10
2 	 29 58
1 	 51
2 	 14 40
2 	 38 19
3 	 38 8 15
2 	 28 16
2 	 2 46
1 	 19
3 	 36 34 23
1 	 12
1 	 61
1 	 57
2 	 25 56
2 	 45 59
2 	 58 69
2 	 14 32
4 	 18 55 64 68
4 	 7 2 21 3
1 	 8
1 	 61
2 	 14 1
6 	 25 29 35 9 41 43
1 	 25
1 	 61
2 	 59 37
1 	 9
1 	 27
1 	 60
2 	 64 69
2 	 30 67
1 	 50
2 	 38 24
2 	 32 65
2 	 28 61
2 	 55 0
3 	 46 37 34
2 	 33 48
1 	 35
2 	 66 21
2 	 41 23
1 	 35
1 	 35
1 	 22
1 	 37
1 	 67
1 	 30
1 	 13
2 	 66 17
2 	 14 62
1 	 6
1 	 40
1 	 54
5 	 58 33 42 1 57
2 	 46 8
1 	 42
4 	 60 52 4 20
2 	 48 56
4 	 58 46 7 50
6 	 27 11 39 36 55 43
1 	 10
4 	 68 15 12 16
1 	 33
2 	 10 18
2 	 60 6
2 	 33 49
2 	 56 25
3 	 58 54 14
2 	 27 29
1 	 33
4 	 58 66 64 60
2 	 66 47
4 	 32 28 10 59
1 	 45
2 	 11 31
1 	 39
2 	 32 5
1 	 63
1 	 30
1 	 59
2 	 41 26
2 	 33 9
2 	 31 40
1 	 27
5 	 41 27 32 44 63
2 	 46 53
4 	 44 38 30 2
1 	 8
1 	 23
2 	 58 51
2 	 44 3
1 	 7
5 	 44 45 68 13 22
2 	 4 19
2 	 66 35
1 	 3
